IDPOL,INIVIG,Año,Mes,Tipo,Sexo_Titular,Sexo_Adjunto,ECON_Titular,ECON_Adjunto,Status_Titular,Status_Adjunto,PROD,SAF,SAD,CREC,%CREC,COB,PAG,DIV,MON,SIT,F_GAR
5194,18/04/2022,2022,4,Individual,M,F,42,43,NFND,NFD,V,796260,NA,NA,NA,NA,1,NA,USD,Normal,NA
5193,18/04/2022,2022,4,Individual,F,F,43,50,NFND,FND,T,475750,NA,FIJO,0.025,15,3,NA,USD,Normal,NA
5198,18/04/2022,2022,4,Individual,F,M,32,26,FD,FND,T,100410,NA,VARIABLE,0.041,20,20,NA,MXN,Normal,NA
5218,19/04/2022,2022,4,Vida Conjunta,F,F,34,28,NFND,NFD,DM,271100,271100,NA,NA,20,2,SI,MXN,Normal,NA
5217,19/04/2022,2022,4,Individual,M,F,46,38,NFD,FD,V,191040,NA,NA,NA,NA,54,NA,MXN,Normal,NA
5216,19/04/2022,2022,4,Individual,F,F,51,49,NFND,NFND,V,339840,NA,VARIABLE,0.027,NA,35,NA,MXN,Normal,NA
5215,19/04/2022,2022,4,Vida Conjunta,F,M,37,37,NFND,NFD,DM,255610,255610,NA,NA,10,6,SI,MXN,Normal,NA
5214,19/04/2022,2022,4,Vida Conjunta,M,F,52,51,NFND,NFND,V,1809400,NA,FIJO,0.018,NA,1,NA,MXN,Normal,NA
5213,19/04/2022,2022,4,Individual,M,M,32,32,NFND,NFND,T,1663480,NA,NA,NA,20,20,NA,MXN,Normal,NA
5212,19/04/2022,2022,4,Vida Conjunta,M,F,36,46,NFND,FD,V,463120,NA,VARIABLE,0.035,NA,7,NA,MXN,Normal,NA
5211,19/04/2022,2022,4,Último Superviviente,M,F,54,58,NFND,NFND,T,599280,NA,NA,NA,10,10,NA,UDI,Normal,NA
5210,19/04/2022,2022,4,Vida Conjunta,M,F,55,55,NFD,FND,DM,50820,50820,NA,NA,25,7,SI,MXN,Normal,NA
5209,19/04/2022,2022,4,Individual,F,F,39,39,NFND,NFND,T,168270,NA,NA,NA,5,5,NA,USD,Normal,NA
5208,19/04/2022,2022,4,Individual,M,F,45,53,NFND,NFND,DM,1357570,1357570,NA,NA,20,20,SI,MXN,Normal,NA
5207,19/04/2022,2022,4,Individual,F,M,42,46,FND,FND,T,608640,NA,NA,NA,15,15,NA,MXN,Normal,NA
5206,19/04/2022,2022,4,Individual,M,F,25,32,NFND,FND,T,784600,NA,NA,NA,15,15,NA,MXN,Normal,NA
5205,19/04/2022,2022,4,Individual,F,F,39,42,FND,FND,T,249840,NA,NA,NA,15,15,NA,MXN,Normal,NA
5230,20/04/2022,2022,4,Individual,F,M,42,42,NFND,NFND,T,777380,NA,NA,NA,15,6,NA,MXN,Normal,NA
5229,20/04/2022,2022,4,Último Superviviente,M,F,47,47,FND,NFND,V,161630,NA,NA,NA,NA,50,NA,MXN,Normal,NA
5228,20/04/2022,2022,4,Individual,M,M,35,43,NFD,NFD,T,395460,NA,NA,NA,5,5,NA,MXN,Normal,NA
5227,20/04/2022,2022,4,Individual,F,F,30,27,FND,FND,T,1308920,NA,NA,NA,20,13,NA,MXN,Normal,NA
5226,20/04/2022,2022,4,Vida Conjunta,F,M,35,28,NFD,FND,DM,660530,660530,NA,NA,10,4,SI,MXN,Normal,NA
5225,20/04/2022,2022,4,Individual,M,F,45,47,FND,NFND,DM,1462290,Última,VARIABLE,0.025,25,25,SI,MXN,Normal,NA
5223,20/04/2022,2022,4,Individual,F,M,46,46,NFD,NFD,T,513070,NA,NA,NA,10,10,NA,MXN,Normal,NA
5222,20/04/2022,2022,4,Individual,F,M,34,24,NFD,NFD,T,532730,NA,NA,NA,10,10,NA,MXN,Normal,NA
5221,20/04/2022,2022,4,Último Superviviente,F,M,20,19,NFND,FD,T,828510,NA,NA,NA,5,3,NA,MXN,Normal,NA
5220,20/04/2022,2022,4,Individual,M,F,37,37,FND,FD,T,608560,NA,NA,NA,20,1,NA,MXN,Normal,NA
5219,20/04/2022,2022,4,Individual,F,M,56,47,FND,NFD,V,998130,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5224,20/04/2022,2022,4,Vida Conjunta,F,M,48,41,NFD,NFD,DM,561280,483880,NA,NA,10,10,SI,USD,Normal,NA
5237,21/04/2022,2022,4,Individual,M,F,40,40,NFND,NFND,T,660390,NA,NA,NA,25,9,NA,MXN,Normal,NA
5242,21/04/2022,2022,4,Vida Conjunta,M,F,37,37,FD,NFD,T,382540,NA,NA,NA,15,10,NA,MXN,Normal,NA
5241,21/04/2022,2022,4,Individual,F,M,54,64,FND,NFND,T,925460,NA,NA,NA,25,25,NA,MXN,Normal,NA
5240,21/04/2022,2022,4,Vida Conjunta,M,M,40,32,NFND,FND,T,603070,NA,NA,NA,10,4,NA,MXN,Prórrogado,2023-04-21
5239,21/04/2022,2022,4,Individual,M,F,18,18,FND,FD,T,4824030,NA,VARIABLE,0.029,20,20,NA,MXN,Normal,NA
5238,21/04/2022,2022,4,Individual,F,F,37,37,NFND,NFND,T,436700,NA,NA,NA,20,7,NA,MXN,Normal,NA
5235,21/04/2022,2022,4,Individual,M,F,30,30,FND,NFND,T,163570,NA,VARIABLE,0.015,20,20,NA,MXN,Normal,NA
5234,21/04/2022,2022,4,Individual,M,F,56,54,NFND,FND,T,1362590,NA,NA,NA,10,10,NA,USD,Normal,NA
5233,21/04/2022,2022,4,Individual,M,M,47,43,FND,FD,DM,329860,Última,VARIABLE,0.015,10,10,SI,MXN,Saldado,2028-04-21
5232,21/04/2022,2022,4,Vida Conjunta,M,F,54,50,NFND,NFND,V,694480,NA,FIJO,0.028,NA,33,NA,MXN,Normal,NA
5231,21/04/2022,2022,4,Vida Conjunta,F,M,39,39,NFND,NFD,T,928090,NA,NA,NA,15,15,NA,UDI,Normal,NA
5236,21/04/2022,2022,4,Vida Conjunta,F,M,31,32,NFND,NFND,DM,232760,232760,NA,NA,15,5,SI,MXN,Saldado,2025-04-21
5251,22/04/2022,2022,4,Individual,F,M,36,36,NFND,FD,DM,1160620,1091670,NA,NA,20,4,SI,MXN,Normal,NA
5253,22/04/2022,2022,4,Último Superviviente,M,F,30,39,NFND,FND,T,545760,NA,NA,NA,20,20,NA,MXN,Normal,NA
5250,22/04/2022,2022,4,Individual,F,M,47,47,NFND,NFND,T,357330,NA,NA,NA,20,1,NA,MXN,Saldado,2023-04-22
5255,22/04/2022,2022,4,Último Superviviente,M,F,31,25,NFND,NFD,T,849950,NA,NA,NA,5,5,NA,MXN,Normal,NA
5254,22/04/2022,2022,4,Individual,F,M,34,34,NFND,FND,T,233200,NA,NA,NA,15,15,NA,MXN,Normal,NA
5249,22/04/2022,2022,4,Individual,F,F,42,44,NFND,FND,DM,543570,543570,NA,NA,10,3,SI,MXN,Normal,NA
5252,22/04/2022,2022,4,Vida Conjunta,F,M,46,48,FND,FD,V,177800,NA,FIJO,0.042,NA,51,NA,MXN,Normal,NA
5247,22/04/2022,2022,4,Último Superviviente,M,F,39,42,NFND,NFD,T,317460,NA,NA,NA,10,6,NA,USD,Normal,NA
5246,22/04/2022,2022,4,Último Superviviente,F,F,41,41,FD,NFND,T,66310,NA,NA,NA,15,15,NA,UDI,Normal,NA
5245,22/04/2022,2022,4,Individual,M,F,26,31,NFND,FND,DM,692010,692010,NA,NA,10,2,SI,MXN,Normal,NA
5244,22/04/2022,2022,4,Vida Conjunta,F,F,56,56,NFND,NFND,V,189270,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5243,22/04/2022,2022,4,Individual,F,M,31,39,NFD,NFND,T,2403800,NA,NA,NA,10,4,NA,MXN,Normal,NA
5248,22/04/2022,2022,4,Individual,M,F,44,44,FND,FD,T,560140,NA,NA,NA,5,3,NA,MXN,Normal,NA
5271,23/04/2022,2022,4,Individual,M,F,53,53,NFND,NFND,DM,308320,308320,NA,NA,15,15,SI,MXN,Normal,NA
5270,23/04/2022,2022,4,Individual,M,M,39,39,NFND,NFND,DM,742610,742610,NA,NA,15,8,SI,USD,Normal,NA
5269,23/04/2022,2022,4,Individual,M,M,44,50,NFND,NFND,DM,1337100,1062910,NA,NA,20,9,SI,MXN,Normal,NA
5268,23/04/2022,2022,4,Individual,M,F,38,38,FD,FD,T,155790,NA,FIJO,0.019,10,10,NA,MXN,Normal,NA
5267,23/04/2022,2022,4,Individual,M,F,44,38,NFND,FD,T,257560,NA,NA,NA,15,1,NA,MXN,Normal,NA
5266,23/04/2022,2022,4,Individual,M,F,43,47,FND,FD,DM,1432990,1432990,NA,NA,25,11,SI,MXN,Normal,NA
5265,23/04/2022,2022,4,Vida Conjunta,M,F,41,34,NFD,FD,DM,141720,141720,NA,NA,5,1,SI,MXN,Normal,NA
5264,23/04/2022,2022,4,Individual,F,F,39,39,FND,NFND,T,1102210,NA,NA,NA,20,18,NA,UDI,Normal,NA
5262,23/04/2022,2022,4,Individual,F,F,29,20,NFND,NFND,T,97880,NA,FIJO,0.037,5,2,NA,UDI,Normal,NA
5261,23/04/2022,2022,4,Individual,M,F,30,37,NFND,NFD,T,1195840,NA,VARIABLE,0.017,15,1,NA,UDI,Prórrogado,2023-04-23
5260,23/04/2022,2022,4,Individual,M,F,44,46,FND,FD,T,419880,NA,NA,NA,10,8,NA,UDI,Normal,NA
5259,23/04/2022,2022,4,Individual,M,F,45,45,FND,NFND,T,176870,NA,NA,NA,10,10,NA,MXN,Normal,NA
5258,23/04/2022,2022,4,Individual,F,M,21,21,NFND,FND,T,87350,NA,NA,NA,20,20,NA,MXN,Normal,NA
5257,23/04/2022,2022,4,Individual,M,F,39,35,FND,NFND,DM,311250,Última,VARIABLE,0.032,15,1,SI,MXN,Normal,NA
5256,23/04/2022,2022,4,Vida Conjunta,F,M,38,38,FND,NFD,T,1199920,NA,NA,NA,15,15,NA,MXN,Normal,NA
5263,23/04/2022,2022,4,Último Superviviente,M,M,50,53,NFD,FD,T,489050,NA,NA,NA,10,10,NA,UDI,Normal,NA
5288,24/04/2022,2022,4,Individual,M,F,31,31,NFD,NFD,T,128480,NA,NA,NA,15,15,NA,MXN,Normal,NA
5287,24/04/2022,2022,4,Individual,F,M,38,31,NFD,FND,T,1407090,NA,NA,NA,10,10,NA,MXN,Normal,NA
5286,24/04/2022,2022,4,Individual,M,M,48,48,NFND,FD,V,746000,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5285,24/04/2022,2022,4,Vida Conjunta,M,M,36,45,NFD,NFD,T,95080,NA,NA,NA,5,4,NA,MXN,Normal,NA
5284,24/04/2022,2022,4,Último Superviviente,M,M,37,42,FD,FD,T,325730,NA,VARIABLE,0.031,10,1,NA,MXN,Normal,NA
5283,24/04/2022,2022,4,Individual,M,F,30,33,NFND,NFND,T,76350,NA,NA,NA,5,5,NA,MXN,Normal,NA
5282,24/04/2022,2022,4,Vida Conjunta,F,M,29,31,FND,NFND,T,263700,NA,NA,NA,25,25,NA,MXN,Normal,NA
5281,24/04/2022,2022,4,Individual,M,F,42,42,NFND,NFND,V,118170,NA,NA,NA,NA,30,NA,MXN,Normal,NA
5278,24/04/2022,2022,4,Individual,M,F,26,26,FND,FND,DM,425840,418480,NA,NA,15,15,SI,MXN,Normal,NA
5279,24/04/2022,2022,4,Individual,M,M,40,40,NFD,NFD,DM,177620,177620,NA,NA,15,1,SI,USD,Normal,NA
5277,24/04/2022,2022,4,Individual,F,M,28,28,NFD,NFD,DM,1111390,1008880,NA,NA,25,25,SI,MXN,Normal,NA
5276,24/04/2022,2022,4,Individual,F,M,42,35,NFND,FD,DM,2187660,2187660,NA,NA,10,4,SI,MXN,Normal,NA
5275,24/04/2022,2022,4,Vida Conjunta,M,F,27,37,NFD,NFD,T,1577280,NA,NA,NA,15,15,NA,MXN,Normal,NA
5274,24/04/2022,2022,4,Individual,F,M,35,35,NFND,FD,DM,341370,341370,NA,NA,10,10,SI,MXN,Normal,NA
5273,24/04/2022,2022,4,Vida Conjunta,M,F,32,38,FD,NFND,T,478940,NA,NA,NA,5,5,NA,MXN,Normal,NA
5272,24/04/2022,2022,4,Vida Conjunta,F,M,51,51,NFND,FD,V,707950,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5280,24/04/2022,2022,4,Individual,M,F,38,38,NFND,FND,DM,531330,531330,NA,NA,5,1,SI,UDI,Normal,NA
5298,25/04/2022,2022,4,Individual,F,M,55,51,FND,FND,DM,741810,741810,NA,NA,10,7,SI,MXN,Normal,NA
5297,25/04/2022,2022,4,Individual,M,F,50,41,NFND,NFND,DM,473880,Última,FIJO,0.046,15,8,SI,MXN,Normal,NA
5296,25/04/2022,2022,4,Individual,M,M,53,53,FND,NFND,V,405040,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5295,25/04/2022,2022,4,Individual,M,F,36,36,NFD,NFD,T,28090,NA,NA,NA,5,1,NA,MXN,Normal,NA
5294,25/04/2022,2022,4,Vida Conjunta,M,F,30,30,NFND,NFND,T,910800,NA,NA,NA,15,15,NA,MXN,Normal,NA
5293,25/04/2022,2022,4,Vida Conjunta,F,M,44,44,FND,FND,T,206260,NA,NA,NA,5,4,NA,MXN,Normal,NA
5291,25/04/2022,2022,4,Individual,M,F,51,51,FND,NFND,V,259470,NA,NA,NA,NA,11,NA,MXN,Normal,NA
5290,25/04/2022,2022,4,Individual,M,M,50,54,NFND,NFND,T,427140,NA,NA,NA,15,1,NA,UDI,Normal,NA
5289,25/04/2022,2022,4,Individual,F,M,45,45,FND,FND,T,344110,NA,NA,NA,5,3,NA,MXN,Normal,NA
5292,25/04/2022,2022,4,Individual,F,M,26,21,FND,NFND,DM,564860,564860,NA,NA,10,4,SI,MXN,Normal,NA
5308,26/04/2022,2022,4,Individual,M,M,40,31,NFND,NFD,T,412380,NA,NA,NA,15,15,NA,MXN,Normal,NA
5314,26/04/2022,2022,4,Individual,M,F,52,52,FND,FD,T,516090,NA,NA,NA,10,6,NA,MXN,Normal,NA
5313,26/04/2022,2022,4,Individual,M,M,41,41,NFND,NFND,T,117460,NA,FIJO,0.018,25,19,NA,MXN,Normal,NA
5312,26/04/2022,2022,4,Vida Conjunta,M,M,40,40,FND,FND,T,238650,NA,NA,NA,10,1,NA,MXN,Normal,NA
5315,26/04/2022,2022,4,Vida Conjunta,M,F,35,31,NFND,NFND,T,761060,NA,NA,NA,15,15,NA,UDI,Normal,NA
5310,26/04/2022,2022,4,Individual,F,F,51,51,NFND,FND,V,42460,NA,NA,NA,NA,54,NA,MXN,Normal,NA
5309,26/04/2022,2022,4,Individual,F,F,38,45,NFND,NFND,T,3590620,NA,NA,NA,10,10,NA,MXN,Normal,NA
5307,26/04/2022,2022,4,Individual,F,M,49,49,NFND,NFND,DM,869270,869270,NA,NA,20,1,SI,MXN,Normal,NA
5311,26/04/2022,2022,4,Individual,M,M,47,40,FND,FND,T,863800,NA,NA,NA,15,15,NA,MXN,Normal,NA
5305,26/04/2022,2022,4,Individual,M,F,47,47,FND,FD,V,661000,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5304,26/04/2022,2022,4,Individual,M,M,52,57,NFND,NFND,V,988930,NA,NA,NA,NA,21,NA,MXN,Normal,NA
5303,26/04/2022,2022,4,Último Superviviente,M,F,42,47,NFD,NFD,DM,359750,359750,NA,NA,5,5,SI,USD,Normal,NA
5302,26/04/2022,2022,4,Individual,F,M,36,32,NFND,FD,V,134400,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5301,26/04/2022,2022,4,Vida Conjunta,M,F,32,39,NFND,NFND,T,284630,NA,NA,NA,10,2,NA,MXN,Normal,NA
5300,26/04/2022,2022,4,Individual,M,F,31,27,FD,FD,T,114280,NA,VARIABLE,0.029,20,5,NA,MXN,Normal,NA
5299,26/04/2022,2022,4,Último Superviviente,F,F,42,42,FD,FD,V,3728180,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5306,26/04/2022,2022,4,Individual,F,M,34,34,FND,FND,T,888130,NA,NA,NA,5,4,NA,MXN,Normal,NA
5329,27/04/2022,2022,4,Individual,F,M,31,31,FND,FND,T,363060,NA,NA,NA,25,20,NA,UDI,Normal,NA
5328,27/04/2022,2022,4,Individual,F,M,35,27,NFND,FND,T,361990,NA,NA,NA,15,15,NA,USD,Normal,NA
5327,27/04/2022,2022,4,Vida Conjunta,M,F,47,48,FND,NFND,DM,522750,522750,NA,NA,10,6,SI,MXN,Normal,NA
5326,27/04/2022,2022,4,Vida Conjunta,M,F,45,45,FD,FND,DM,273930,Última,VARIABLE,0.035,15,1,SI,MXN,Normal,NA
5325,27/04/2022,2022,4,Individual,M,F,37,37,NFD,NFND,DM,303330,303330,NA,NA,10,7,SI,MXN,Normal,NA
5324,27/04/2022,2022,4,Individual,F,M,52,56,NFD,NFD,T,125190,NA,NA,NA,25,22,NA,MXN,Normal,NA
5323,27/04/2022,2022,4,Individual,M,F,41,41,NFD,NFD,T,392770,NA,NA,NA,5,1,NA,MXN,Normal,NA
5321,27/04/2022,2022,4,Último Superviviente,M,F,33,33,FND,FD,T,380850,NA,NA,NA,15,15,NA,UDI,Normal,NA
5320,27/04/2022,2022,4,Vida Conjunta,F,F,50,50,NFND,NFND,V,91860,NA,VARIABLE,0.045,NA,1,NA,MXN,Normal,NA
5319,27/04/2022,2022,4,Vida Conjunta,F,F,38,44,NFD,NFD,T,37450,NA,NA,NA,15,14,NA,MXN,Normal,NA
5318,27/04/2022,2022,4,Último Superviviente,F,M,38,38,NFND,FND,T,340510,NA,NA,NA,10,2,NA,MXN,Normal,NA
5317,27/04/2022,2022,4,Último Superviviente,F,F,33,33,NFND,NFD,DM,703600,703600,NA,NA,5,5,SI,MXN,Normal,NA
5316,27/04/2022,2022,4,Vida Conjunta,F,M,37,42,NFND,NFND,T,750550,NA,NA,NA,15,15,NA,MXN,Normal,NA
5322,27/04/2022,2022,4,Vida Conjunta,M,F,43,43,NFD,FND,DM,106440,106440,NA,NA,15,10,SI,MXN,Normal,NA
5340,28/04/2022,2022,4,Individual,F,F,45,54,FND,FD,V,336260,NA,NA,NA,NA,18,NA,MXN,Normal,NA
5347,28/04/2022,2022,4,Individual,F,F,42,47,FND,FND,T,93060,NA,NA,NA,15,1,NA,MXN,Normal,NA
5346,28/04/2022,2022,4,Individual,F,M,38,43,NFND,NFD,T,115390,NA,NA,NA,10,10,NA,MXN,Normal,NA
5345,28/04/2022,2022,4,Individual,M,F,42,51,NFND,NFND,T,431720,NA,NA,NA,10,3,NA,MXN,Normal,NA
5344,28/04/2022,2022,4,Individual,M,M,50,48,FD,FD,T,1330950,NA,NA,NA,10,10,NA,MXN,Normal,NA
5343,28/04/2022,2022,4,Último Superviviente,F,M,50,50,NFND,NFND,V,122530,NA,NA,NA,NA,18,NA,MXN,Normal,NA
5342,28/04/2022,2022,4,Individual,F,M,45,45,NFD,NFD,V,25390,NA,NA,NA,NA,44,NA,MXN,Normal,NA
5341,28/04/2022,2022,4,Individual,M,F,54,63,FD,FND,V,1216830,NA,NA,NA,NA,23,NA,MXN,Normal,NA
5339,28/04/2022,2022,4,Individual,F,M,36,35,NFND,NFD,T,2143020,NA,NA,NA,5,2,NA,UDI,Normal,NA
5338,28/04/2022,2022,4,Vida Conjunta,F,F,36,41,FND,FND,DM,554100,Última,FIJO,0.042,20,4,SI,MXN,Normal,NA
5337,28/04/2022,2022,4,Vida Conjunta,F,F,61,61,NFND,FD,V,1105150,NA,NA,NA,NA,27,NA,MXN,Normal,NA
5336,28/04/2022,2022,4,Individual,M,M,28,23,NFD,NFND,T,865750,NA,NA,NA,15,6,NA,MXN,Normal,NA
5335,28/04/2022,2022,4,Vida Conjunta,M,F,42,36,NFND,FND,DM,859870,Última,FIJO,0.045,20,1,SI,MXN,Normal,NA
5334,28/04/2022,2022,4,Último Superviviente,F,M,57,57,NFND,NFND,V,176780,NA,NA,NA,NA,9,NA,MXN,Normal,NA
5333,28/04/2022,2022,4,Individual,F,M,48,54,FND,FND,V,1706600,NA,NA,NA,NA,37,NA,MXN,Normal,NA
5332,28/04/2022,2022,4,Individual,M,F,36,33,FND,FND,DM,150590,150590,NA,NA,10,1,SI,UDI,Normal,NA
5331,28/04/2022,2022,4,Último Superviviente,M,F,52,52,NFD,NFD,V,695220,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5330,28/04/2022,2022,4,Individual,M,F,36,36,FD,FD,V,96860,NA,VARIABLE,0.013,NA,1,NA,MXN,Normal,NA
5362,29/04/2022,2022,4,Individual,F,M,38,28,FND,NFND,DM,1063670,814800,NA,NA,10,1,SI,UDI,Normal,NA
5361,29/04/2022,2022,4,Vida Conjunta,F,F,35,31,FND,FD,T,182880,NA,NA,NA,10,10,NA,MXN,Normal,NA
5360,29/04/2022,2022,4,Individual,F,F,44,44,NFND,NFD,T,1583730,NA,VARIABLE,0.022,5,2,NA,MXN,Normal,NA
5359,29/04/2022,2022,4,Individual,M,F,45,50,FD,FD,T,205990,NA,NA,NA,15,8,NA,MXN,Normal,NA
5358,29/04/2022,2022,4,Individual,F,F,40,48,FD,FND,DM,705400,705400,NA,NA,25,1,SI,MXN,Prórrogado,2023-04-29
5357,29/04/2022,2022,4,Último Superviviente,F,M,26,26,FND,FND,T,227110,NA,NA,NA,15,7,NA,MXN,Normal,NA
5356,29/04/2022,2022,4,Último Superviviente,F,M,50,45,FND,NFND,DM,554530,554530,NA,NA,10,10,SI,USD,Normal,NA
5354,29/04/2022,2022,4,Individual,M,F,22,24,FND,FND,T,503100,NA,NA,NA,5,5,NA,MXN,Prórrogado,2024-04-29
5353,29/04/2022,2022,4,Vida Conjunta,M,F,46,48,NFND,FND,V,764870,NA,FIJO,0.017,NA,1,NA,MXN,Normal,NA
5352,29/04/2022,2022,4,Individual,F,F,35,26,NFND,NFND,DM,115110,115110,NA,NA,10,7,SI,USD,Normal,NA
5351,29/04/2022,2022,4,Individual,F,F,52,50,NFND,NFND,V,2458740,NA,FIJO,0.012,NA,1,NA,MXN,Normal,NA
5350,29/04/2022,2022,4,Individual,F,M,51,51,NFND,FD,V,43790,NA,NA,NA,NA,28,NA,MXN,Normal,NA
5349,29/04/2022,2022,4,Último Superviviente,F,F,48,48,NFD,NFD,T,97290,NA,NA,NA,20,20,NA,MXN,Normal,NA
5348,29/04/2022,2022,4,Individual,M,F,33,41,NFD,NFD,T,289300,NA,NA,NA,5,2,NA,MXN,Normal,NA
5355,29/04/2022,2022,4,Individual,F,M,31,31,NFND,NFND,DM,1922530,1922530,NA,NA,15,15,SI,MXN,Normal,NA
5371,30/04/2022,2022,4,Vida Conjunta,M,M,51,57,NFD,NFND,V,470390,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5375,30/04/2022,2022,4,Individual,M,F,41,41,NFND,FD,DM,58490,58490,NA,NA,5,1,SI,MXN,Normal,NA
5374,30/04/2022,2022,4,Individual,F,M,32,37,NFD,FND,T,725700,NA,NA,NA,20,20,NA,MXN,Normal,NA
5373,30/04/2022,2022,4,Individual,F,M,39,39,NFND,NFND,DM,380960,380960,NA,NA,25,25,SI,MXN,Normal,NA
5376,30/04/2022,2022,4,Vida Conjunta,F,M,45,44,FD,NFND,T,257380,NA,NA,NA,25,25,NA,MXN,Normal,NA
5372,30/04/2022,2022,4,Individual,F,M,55,60,NFD,NFD,T,117290,NA,NA,NA,10,10,NA,MXN,Normal,NA
5370,30/04/2022,2022,4,Vida Conjunta,M,F,27,24,NFND,FD,T,1028200,NA,NA,NA,15,15,NA,MXN,Normal,NA
5366,30/04/2022,2022,4,Vida Conjunta,F,M,44,44,NFND,NFD,V,841060,NA,NA,NA,NA,52,NA,MXN,Normal,NA
5368,30/04/2022,2022,4,Individual,F,M,45,47,NFND,FND,DM,277560,277560,NA,NA,5,3,SI,UDI,Normal,NA
5367,30/04/2022,2022,4,Individual,M,M,50,49,NFD,NFD,V,266630,NA,NA,NA,NA,57,NA,MXN,Normal,NA
5365,30/04/2022,2022,4,Individual,F,M,45,43,FD,FD,T,1736290,NA,NA,NA,25,18,NA,MXN,Normal,NA
5364,30/04/2022,2022,4,Vida Conjunta,F,F,53,46,FND,NFND,V,192860,NA,NA,NA,NA,50,NA,UDI,Normal,NA
5363,30/04/2022,2022,4,Vida Conjunta,M,F,22,22,FND,NFND,T,216110,NA,NA,NA,10,10,NA,MXN,Normal,NA
5369,30/04/2022,2022,4,Vida Conjunta,M,F,36,36,FD,NFD,T,463590,NA,NA,NA,10,4,NA,MXN,Normal,NA
5386,01/05/2022,2022,5,Último Superviviente,M,M,57,53,FND,FD,DM,2314580,1774550,NA,NA,10,10,SI,MXN,Normal,NA
5385,01/05/2022,2022,5,Individual,F,M,47,51,NFND,NFND,V,351180,NA,NA,NA,NA,1,NA,MXN,Normal,NA
5384,01/05/2022,2022,5,Individual,M,F,46,44,NFND,NFND,T,64770,NA,NA,NA,15,15,NA,MXN,Normal,NA
5383,01/05/2022,2022,5,Individual,M,F,55,55,FD,NFD,V,574080,NA,VARIABLE,0.016,NA,41,NA,USD,Normal,NA
5382,01/05/2022,2022,5,Individual,M,M,31,21,NFND,NFND,T,187870,NA,NA,NA,20,20,NA,MXN,Normal,NA
5380,01/05/2022,2022,5,Vida Conjunta,F,M,53,53,FND,NFD,DM,438370,399750,NA,NA,5,1,SI,MXN,Normal,NA
5379,01/05/2022,2022,5,Individual,F,F,32,34,NFND,NFND,T,75530,NA,NA,NA,5,1,NA,MXN,Prórrogado,2023-05-01
5378,01/05/2022,2022,5,Vida Conjunta,F,M,45,47,FND,FND,V,8000000,NA,VARIABLE,0.033,NA,15,NA,MXN,Normal,NA
5377,01/05/2022,2022,5,Individual,F,F,35,39,NFD,NFD,V,98860,NA,NA,NA,NA,19,NA,MXN,Normal,NA
5381,01/05/2022,2022,5,Individual,M,F,26,27,NFND,FND,DM,570780,570780,NA,NA,20,20,SI,MXN,Normal,NA
5392,02/05/2022,2022,5,Último Superviviente,F,F,19,22,FND,FND,T,974310,NA,VARIABLE,0.015,10,10,NA,MXN,Normal,NA
5394,02/05/2022,2022,5,Individual,M,F,52,52,FND,FND,DM,406440,406440,NA,NA,15,10,SI,MXN,Normal,NA
5393,02/05/2022,2022,5,Vida Conjunta,F,M,55,53,NFND,FND,T,594540,NA,NA,NA,10,10,NA,MXN,Normal,NA
5391,02/05/2022,2022,5,Individual,F,M,36,39,FND,NFND,T,86530,NA,NA,NA,20,20,NA,MXN,Normal,NA
5387,02/05/2022,2022,5,Individual,M,F,45,45,FND,NFND,T,2135840,NA,NA,NA,15,15,NA,MXN,Normal,NA
5389,02/05/2022,2022,5,Vida Conjunta,F,M,48,58,NFND,FD,DM,1060700,1060700,NA,NA,15,15,SI,UDI,Normal,NA
5388,02/05/2022,2022,5,Individual,M,M,42,42,NFD,FND,T,399280,NA,NA,NA,15,12,NA,MXN,Normal,NA
5390,02/05/2022,2022,5,Individual,M,F,59,51,NFND,NFND,V,1135860,NA,NA,NA,NA,10,NA,MXN,Normal,NA
5406,03/05/2022,2022,5,Vida Conjunta,M,F,28,28,NFND,FD,DM,633970,633970,NA,NA,15,5,SI,MXN,Normal,NA
5412,03/05/2022,2022,5,Vida Conjunta,M,M,56,56,NFND,NFND,V,207810,NA,NA,NA,NA,28,NA,MXN,Normal,NA
5411,03/05/2022,2022,5,Individual,F,M,40,40,NFND,NFND,DM,1393280,1393280,NA,NA,5,5,SI,MXN,Normal,NA
5413,03/05/2022,2022,5,Vida Conjunta,F,M,40,49,NFND,NFND,DM,395350,Última,VARIABLE,0.014,10,10,SI,MXN,Normal,NA
5410,03/05/2022,2022,5,Individual,F,M,46,50,NFND,FD,T,779200,NA,NA,NA,15,15,NA,MXN,Normal,NA
5409,03/05/2022,2022,5,Vida Conjunta,F,M,42,42,NFND,NFND,T,3193610,NA,NA,NA,10,2,NA,MXN,Normal,NA
