Siniestro Número,Póliza,Inivig,Fecha_Ocurr,Fecha_Recla,Monto Pagado
75,3211,23/11/2021,13/03/2024,22/12/2028,165660
261,10154,10/04/2023,11/01/2027,26/12/2028,346970
541,19982,22/03/2025,25/10/2028,30/12/2028,1316610
454,17363,12/09/2024,23/03/2027,31/12/2028,26790
396,15189,05/04/2024,01/04/2028,01/01/2029,64130
708,27233,30/08/2026,29/05/2028,02/01/2029,79160
252,9838,18/03/2023,25/02/2027,08/01/2029,76050
258,10080,04/04/2023,19/08/2027,09/01/2029,239420
491,18705,17/12/2024,13/03/2027,15/01/2029,2231780
528,19526,17/02/2025,13/07/2028,17/01/2029,508710
624,24000,06/01/2026,15/03/2028,19/01/2029,80440
532,19585,22/02/2025,15/09/2028,21/01/2029,212770
656,25159,30/03/2026,10/01/2028,23/01/2029,227170
531,19565,20/02/2025,01/08/2027,24/01/2029,294210
643,24641,24/02/2026,12/04/2026,29/01/2029,546770
419,16089,10/06/2024,18/07/2028,03/02/2029,140310
242,9480,21/02/2023,18/05/2028,07/02/2029,215120
724,28443,24/11/2026,20/02/2027,09/02/2029,563330
299,11408,09/07/2023,27/03/2027,09/02/2029,987440
650,24881,12/03/2026,09/01/2028,11/02/2029,611680
481,18226,14/11/2024,24/06/2026,14/02/2029,49870
288,10968,09/06/2023,01/05/2027,14/02/2029,221940
583,21953,13/08/2025,04/02/2027,15/02/2029,2243450
682,25968,30/05/2026,14/06/2027,23/02/2029,363360
205,7941,03/11/2022,02/02/2028,28/02/2029,2208010
338,13069,04/11/2023,04/09/2028,02/03/2029,77700
328,12396,19/09/2023,28/06/2028,14/03/2029,2996760
270,10428,30/04/2023,23/04/2027,15/03/2029,180570
526,19518,16/02/2025,04/10/2028,17/03/2029,96810
370,14204,23/01/2024,09/03/2028,17/03/2029,143050
368,14120,17/01/2024,27/10/2028,18/03/2029,137890
591,22337,09/09/2025,08/02/2028,23/03/2029,538460
297,11299,30/06/2023,06/11/2028,24/03/2029,301030
429,16536,14/07/2024,24/01/2028,30/03/2029,786650
249,9720,12/03/2023,23/09/2027,31/03/2029,207370
593,22474,19/09/2025,15/02/2029,01/04/2029,958930
719,27914,17/10/2026,13/04/2028,02/04/2029,804100
502,19082,14/01/2025,17/09/2027,17/04/2029,261130
618,23788,23/12/2025,02/01/2028,20/04/2029,141250
610,23422,27/11/2025,09/02/2029,24/04/2029,1411690
665,25463,22/04/2026,27/10/2028,27/04/2029,113420
366,14079,14/01/2024,12/05/2028,29/04/2029,197040
313,11887,13/08/2023,11/08/2028,30/04/2029,1383680
613,23634,13/12/2025,20/11/2027,02/05/2029,848720
276,10602,15/05/2023,14/05/2027,10/05/2029,79670
315,11981,20/08/2023,09/08/2027,14/05/2029,1096640
211,8168,20/11/2022,22/09/2027,20/05/2029,383070
192,7571,07/10/2022,07/12/2025,28/05/2029,2095620
318,12112,30/08/2023,20/12/2027,31/05/2029,341620
116,4796,18/03/2022,25/07/2027,03/06/2029,618930
439,16931,11/08/2024,05/12/2027,03/06/2029,157280
240,9467,20/02/2023,04/06/2028,17/06/2029,246040
607,23264,14/11/2025,16/08/2027,29/06/2029,837230
353,13624,13/12/2023,03/02/2028,01/07/2029,40720
310,11809,07/08/2023,22/04/2028,05/07/2029,356000
552,20356,18/04/2025,18/08/2028,06/07/2029,457070
499,18935,06/01/2025,13/01/2028,09/07/2029,1789900
460,17543,24/09/2024,09/12/2027,18/07/2029,190360
478,18099,04/11/2024,13/10/2028,27/07/2029,387360
715,27721,05/10/2026,14/07/2029,27/07/2029,130460
335,12947,26/10/2023,10/11/2028,29/07/2029,166910
680,25927,27/05/2026,29/05/2028,06/08/2029,127220
203,7890,31/10/2022,17/11/2027,08/08/2029,134800
589,22233,02/09/2025,19/06/2028,09/08/2029,2852640
253,9900,22/03/2023,21/07/2028,24/08/2029,172300
596,22556,23/09/2025,10/05/2028,26/08/2029,118960
431,16585,17/07/2024,04/02/2029,29/08/2029,841320
486,18470,01/12/2024,31/05/2029,31/08/2029,149440
654,25146,29/03/2026,07/08/2027,01/09/2029,334590
354,13656,16/12/2023,25/05/2028,02/09/2029,2727980
392,15045,25/03/2024,05/12/2027,02/09/2029,941220
570,21420,07/07/2025,18/05/2029,10/09/2029,1154650
448,17218,02/09/2024,22/07/2029,19/09/2029,560550
361,13881,01/01/2024,13/03/2029,19/09/2029,332140
500,19025,11/01/2025,22/01/2028,21/09/2029,100980
376,14461,11/02/2024,02/11/2028,01/10/2029,141700
467,17825,15/10/2024,23/09/2029,05/10/2029,119720
362,13890,02/01/2024,27/04/2028,20/10/2029,354210
464,17688,05/10/2024,18/12/2028,23/10/2029,1186650
739,28936,29/12/2026,24/06/2027,26/10/2029,1471450
351,13497,04/12/2023,26/01/2028,27/10/2029,489770
690,26287,23/06/2026,22/08/2028,01/11/2029,1910590
319,12136,01/09/2023,13/11/2027,02/11/2029,22170
705,27012,14/08/2026,27/12/2028,05/11/2029,522050
272,10527,09/05/2023,18/06/2027,08/11/2029,397830
263,10207,14/04/2023,23/04/2028,09/11/2029,530310
674,25692,10/05/2026,24/07/2028,09/11/2029,69190
515,19298,01/02/2025,15/03/2029,19/11/2029,428710
438,16918,11/08/2024,11/04/2029,22/11/2029,307420
233,9299,09/02/2023,27/11/2027,26/11/2029,475360
267,10376,25/04/2023,11/04/2028,30/11/2029,110920
413,15852,23/05/2024,05/11/2028,30/11/2029,364960
504,19120,17/01/2025,07/03/2028,01/12/2029,1056850
663,25400,19/04/2026,25/10/2028,19/12/2029,612880
692,26336,26/06/2026,24/03/2028,20/12/2029,494980
466,17785,12/10/2024,22/03/2028,29/12/2029,181070
391,15024,24/03/2024,29/05/2029,05/01/2030,398750
520,19436,11/02/2025,21/03/2028,06/01/2030,1094720
530,19563,20/02/2025,29/02/2028,12/01/2030,437290
380,14597,20/02/2024,13/09/2028,13/01/2030,498220
736,28795,20/12/2026,26/08/2029,14/01/2030,390210
629,24208,22/01/2026,12/08/2028,21/01/2030,815770
388,14816,08/03/2024,14/12/2026,23/01/2030,201370
702,26859,02/08/2026,14/07/2029,04/02/2030,69580
647,24775,06/03/2026,13/01/2029,27/02/2030,343620
357,13749,23/12/2023,06/03/2029,02/03/2030,721450
477,18094,04/11/2024,19/09/2029,03/03/2030,610380
712,27479,16/09/2026,07/06/2028,04/03/2030,613020
550,20316,16/04/2025,14/09/2028,04/03/2030,650040
255,9958,27/03/2023,11/09/2028,07/03/2030,77800
374,14397,07/02/2024,15/11/2028,07/03/2030,245450
599,22709,04/10/2025,25/09/2029,08/03/2030,1560270
468,17891,20/10/2024,10/03/2028,16/03/2030,163290
443,17040,19/08/2024,14/11/2028,18/03/2030,207830
731,28624,08/12/2026,15/08/2029,26/03/2030,419050
465,17746,08/10/2024,29/12/2028,08/04/2030,86440
597,22626,28/09/2025,18/02/2030,09/04/2030,141830
642,24621,23/02/2026,25/10/2028,11/04/2030,381040
427,16428,04/07/2024,21/05/2027,12/04/2030,451430
717,27797,10/10/2026,13/06/2028,20/04/2030,139280
508,19215,24/01/2025,02/09/2029,29/04/2030,489770
452,17319,09/09/2024,02/02/2026,10/05/2030,619520
644,24681,27/02/2026,23/04/2029,11/05/2030,260200
377,14466,11/02/2024,20/11/2026,17/05/2030,262690
363,14059,13/01/2024,19/09/2028,20/05/2030,1133800
678,25881,24/05/2026,01/04/2030,21/05/2030,1103740
45,1789,11/08/2021,03/05/2026,08/06/2030,332470
635,24344,02/02/2026,24/07/2027,11/06/2030,94810
616,23700,17/12/2025,15/05/2029,15/06/2030,245600
619,23884,30/12/2025,05/12/2029,17/06/2030,399940
695,26514,08/07/2026,01/04/2030,20/06/2030,91040
82,3318,01/12/2021,21/09/2025,21/06/2030,142650
498,18920,04/01/2025,23/10/2029,21/06/2030,634850
519,19406,08/02/2025,11/09/2027,27/06/2030,169680
536,19831,12/03/2025,30/03/2030,27/06/2030,8000000
639,24578,19/02/2026,14/07/2029,29/06/2030,148830
703,26871,03/08/2026,06/04/2029,08/07/2030,314130
568,21414,07/07/2025,09/11/2028,16/07/2030,490900
627,24082,12/01/2026,17/10/2029,17/07/2030,276950
653,25127,28/03/2026,21/09/2029,20/07/2030,1927970
417,15965,01/06/2024,05/12/2027,24/07/2030,217840
565,21280,28/06/2025,30/01/2027,26/07/2030,965760
620,23924,01/01/2026,16/11/2028,08/08/2030,82190
668,25618,04/05/2026,27/10/2028,08/08/2030,375440
622,23992,06/01/2026,24/11/2028,11/08/2030,199870
416,15937,30/05/2024,22/10/2029,12/08/2030,154300
509,19221,25/01/2025,13/01/2029,21/08/2030,1606580
482,18245,15/11/2024,29/04/2030,22/08/2030,747190
617,23713,18/12/2025,13/02/2030,29/08/2030,132960
575,21626,22/07/2025,14/01/2029,18/09/2030,161040
472,17969,26/10/2024,26/02/2030,04/10/2030,815400
563,21179,20/06/2025,18/09/2029,08/10/2030,126430
614,23640,13/12/2025,19/02/2029,11/10/2030,49940
718,27829,11/10/2026,15/05/2030,14/10/2030,79000
441,16964,13/08/2024,10/04/2029,04/11/2030,959760
590,22327,08/09/2025,23/04/2030,13/11/2030,486280
108,4346,14/02/2022,13/03/2026,17/11/2030,312850
445,17138,27/08/2024,16/06/2029,20/11/2030,784200
415,15868,24/05/2024,15/03/2029,20/11/2030,1919500
730,28607,07/12/2026,08/09/2029,24/11/2030,179250
659,25223,04/04/2026,23/04/2030,01/12/2030,660950
459,17529,23/09/2024,20/10/2027,08/12/2030,317630
671,25662,08/05/2026,09/06/2029,14/12/2030,950110
727,28532,01/12/2026,06/06/2030,16/12/2030,216210
598,22674,02/10/2025,03/02/2030,28/12/2030,664990
147,5624,19/05/2022,26/04/2027,31/12/2030,317950
626,24079,12/01/2026,04/07/2029,02/01/2031,594920
574,21608,20/07/2025,24/10/2027,05/01/2031,631000
557,20518,30/04/2025,06/05/2028,06/01/2031,1786800
685,26019,02/06/2026,12/09/2030,11/01/2031,114670
604,23003,27/10/2025,03/07/2029,14/01/2031,301420
667,25568,30/04/2026,29/12/2029,31/01/2031,3800710
660,25321,12/04/2026,09/05/2029,02/02/2031,372620
655,25153,30/03/2026,14/11/2029,03/02/2031,142530
479,18103,04/11/2024,20/08/2029,04/02/2031,134530
693,26348,27/06/2026,13/10/2029,18/02/2031,330710
495,18817,26/12/2024,03/05/2030,23/02/2031,1732220
645,24703,28/02/2026,11/08/2030,24/02/2031,68510
177,7008,29/08/2022,28/08/2027,25/02/2031,433580
651,24953,16/03/2026,26/01/2031,02/03/2031,129670
709,27260,02/09/2026,17/12/2030,05/03/2031,819410
578,21754,01/08/2025,07/06/2030,11/03/2031,382890
566,21312,30/06/2025,16/03/2030,27/03/2031,97860
510,19225,25/01/2025,21/08/2028,14/04/2031,1415970
735,28788,20/12/2026,01/01/2031,16/04/2031,48020
628,24193,20/01/2026,25/12/2028,18/04/2031,578440
720,28042,26/10/2026,04/07/2028,24/04/2031,219870
496,18832,27/12/2024,31/03/2029,03/05/2031,458260
573,21561,17/07/2025,27/09/2029,05/05/2031,132380
689,26226,19/06/2026,03/06/2029,14/05/2031,473110
513,19286,31/01/2025,31/05/2028,17/05/2031,53830
701,26746,25/07/2026,16/08/2029,24/05/2031,73150
664,25444,21/04/2026,20/04/2030,30/05/2031,803740
473,18003,28/10/2024,08/04/2029,01/06/2031,462070
493,18760,22/12/2024,10/06/2030,05/06/2031,1427900
433,16799,01/08/2024,19/12/2029,10/06/2031,246020
672,25682,09/05/2026,12/01/2031,12/06/2031,598590
675,25696,10/05/2026,30/04/2029,29/06/2031,635900
581,21809,04/08/2025,16/01/2030,03/07/2031,496400
636,24514,15/02/2026,13/05/2030,14/07/2031,112630
649,24837,09/03/2026,20/11/2029,21/07/2031,593110
657,25189,01/04/2026,11/01/2030,28/07/2031,228160
615,23651,14/12/2025,05/06/2029,04/08/2031,36090
67,2958,05/11/2021,19/09/2026,18/08/2031,955460
704,26897,05/08/2026,13/11/2029,20/08/2031,1455700
587,22112,24/08/2025,27/10/2030,23/08/2031,1786660
728,28546,02/12/2026,05/04/2031,24/08/2031,433720
571,21447,09/07/2025,05/11/2029,25/08/2031,290880
625,24003,06/01/2026,29/07/2030,28/08/2031,186440
317,12099,29/08/2023,15/05/2028,08/09/2031,241570
558,20541,01/05/2025,01/08/2030,14/09/2031,238760
605,23006,27/10/2025,30/11/2030,29/09/2031,980790
322,12224,07/09/2023,13/10/2028,29/09/2031,419630
544,20055,27/03/2025,07/08/2030,03/10/2031,5470210
304,11568,19/07/2023,27/04/2027,13/10/2031,92230
714,27711,04/10/2026,09/08/2030,28/10/2031,78180
662,25385,17/04/2026,19/04/2027,24/11/2031,119500
726,28484,28/11/2026,10/03/2031,11/01/2032,1010670
250,9749,15/03/2023,11/05/2027,27/01/2032,525510
303,11540,17/07/2023,19/07/2028,03/02/2032,728620
549,20297,14/04/2025,08/07/2027,09/03/2032,1389550
352,13524,06/12/2023,19/01/2029,19/03/2032,33300
428,16432,05/07/2024,22/04/2027,15/04/2032,708270
700,26732,23/07/2026,29/06/2027,27/04/2032,550630
646,24726,02/03/2026,30/06/2031,30/04/2032,682890
641,24590,20/02/2026,06/12/2030,08/05/2032,369970
696,26558,11/07/2026,22/06/2031,10/05/2032,162430
630,24212,22/01/2026,17/02/2031,19/05/2032,302270
733,28730,15/12/2026,27/10/2030,09/06/2032,2487770
732,28720,15/12/2026,27/08/2030,01/07/2032,3154710
621,23941,02/01/2026,01/07/2030,01/08/2032,829690
669,25629,06/05/2026,10/01/2031,07/08/2032,113780
412,15794,19/05/2024,16/05/2028,07/08/2032,130980
687,26086,08/06/2026,19/01/2031,11/08/2032,388740
449,17221,02/09/2024,15/03/2028,15/08/2032,259450
637,24521,15/02/2026,16/07/2029,16/10/2032,252670
551,20354,18/04/2025,10/06/2028,26/11/2032,297650
582,21915,11/08/2025,09/01/2029,28/11/2032,1006440
282,10702,22/05/2023,06/10/2028,29/11/2032,441520
539,19909,17/03/2025,16/01/2030,19/01/2033,365980
684,25992,01/06/2026,07/01/2029,20/01/2033,179040
706,27094,20/08/2026,31/10/2031,23/02/2033,1225310
424,16266,23/06/2024,14/01/2029,26/02/2033,20220
738,28917,28/12/2026,25/01/2032,02/03/2033,290380
347,13325,22/11/2023,01/03/2029,17/03/2033,6452790
540,19940,19/03/2025,19/07/2030,15/05/2033,202470
301,11508,15/07/2023,03/07/2028,16/05/2033,749350
548,20259,12/04/2025,27/04/2030,15/06/2033,1083500
480,18201,12/11/2024,02/04/2030,11/07/2033,350340
634,24307,30/01/2026,03/01/2030,09/08/2033,40980
435,16856,05/08/2024,10/01/2030,29/12/2033,344570
632,24237,23/01/2026,13/06/2030,07/01/2034,918720
514,19287,31/01/2025,22/08/2029,19/01/2034,502560
713,27500,18/09/2026,31/08/2029,06/02/2034,109800
444,17096,23/08/2024,24/06/2029,13/03/2034,215890
652,25038,22/03/2026,21/07/2031,20/09/2034,44380
658,25198,02/04/2026,19/09/2030,24/12/2034,322690
716,27778,09/10/2026,26/10/2030,29/12/2034,630090
603,22922,21/10/2025,28/11/2030,18/03/2035,843130
542,20003,23/03/2025,23/04/2030,07/04/2035,57540
686,26045,04/06/2026,03/08/2031,04/09/2035,277910
699,26658,18/07/2026,07/08/2031,01/05/2036,63640
